Country,State_id,Year,Score
Denmark,1,2018,11.073933958374063
Niger,0,2018,7.956732298256111
Georgia,2,2021,6.633067653468536
Mexico,1,2021,0.8830479367745421
Sweden,1,2015,1.831683739292444
Morocco,0,2017,2.994252471067857
Malawi,0,2021,0.3346488919203498
South Africa,4,2017,1.4636976691491304
Guinea,1,2021,10.710532185551797
Sweden,2,2019,2.4814063337985557
South Africa,0,2016,7.304034230607446
New Zealand,2,2019,7.167877885268452
Jamaica,2,2017,2.7754976889238523
Philippines,0,2015,3.6619073366971406
Tunisia,2,2016,5.313101938658133
South Sudan,1,2016,7.326909550577454
Cambodia,2,2016,0.2172546473155264
Congo (Brazzaville),0,2019,3.03554472824945
Uganda,2,2016,4.94101309598122
Montenegro,3,2021,6.320875752465151
Mexico,2,2017,3.23627389363057
Sierra Leone,2,2020,0.08909234966548339
Belize,2,2018,5.401950576447523
France,3,2020,3.0610137715106256
Switzerland,0,2018,1.1867498399554155
Senegal,1,2020,2.595290323756179
Bosnia and Herzegovina,2,2015,11.156538625160168
Israel,0,2017,9.223396077248935
Brazil,2,2015,1.8478930532187186
Kosovo,1,2015,9.502193411601864
Tanzania,2,2017,3.2547084001457565
Costa Rica,4,2016,10.217333843057038
Jordan,1,2015,0.8599321245669354
Japan,3,2017,0.5378172932793615
Ghana,0,2016,4.566776629898069
Denmark,4,2020,6.896941379112026
Portugal,3,2020,4.579744314277771
Portugal,0,2020,10.043823902274859
Iraq,0,2015,5.673894360095592
China,1,2021,7.612963424992874
North Macedonia,3,2019,6.042914065667378
Chad,4,2016,7.842616349555674
Haiti,2,2017,1.7343852105745616
Northern Cyprus,1,2019,8.705738795792215
Botswana,2,2021,1.223191276699395
Iraq,3,2020,8.558097802875988
Niger,2,2019,2.223443173114303
Costa Rica,1,2017,2.0346142059711094
Burkina Faso,0,2016,3.2621290979997215
Finland,2,2015,10.918752541471838
Thailand,1,2015,5.925951773724588
Mauritania,2,2021,6.204949137343603
Colombia,1,2016,4.136307885231013
Madagascar,3,2018,4.295842328972587
Czech Republic,2,2018,9.85760804209608
Estonia,0,2018,7.51888749620513
Australia,1,2017,10.174597908184916
South Korea,1,2015,5.949976021006403
Palestinian Territories,1,2021,4.687532389829055
Hong Kong,2,2018,1.2206308474425018
Egypt,0,2017,7.217781512257347
Trinidad and Tobago,1,2017,2.5041157588798706
India,0,2016,2.5021676711337273
United States,2,2015,5.4113236721200195
Finland,1,2020,8.69875592090249
Saudi Arabia,1,2020,8.537228706650819
Gambia,2,2021,2.845217559314592
Argentina,0,2020,7.885830430728565
Palestinian Territories,4,2021,4.6737056371124215
Rwanda,2,2020,2.9400458044347975
Brazil,2,2021,1.7009320095814244
Nigeria,1,2020,6.304637276589634
Madagascar,3,2015,4.523906365857616
Botswana,1,2017,4.066502174619885
Mauritania,3,2017,3.863777978715163
Russia,2,2018,3.265582043603068
Congo (Brazzaville),4,2018,6.432645432117563
Guatemala,2,2019,3.4561265423059067
Romania,1,2018,6.563815229417487
Poland,2,2021,10.796359671920069
